grid_id,luas_hijau_m2,luas_bangunan_m2,panjang_jalan_m,index_right,kecamatan,rasio_hijau_bangunan,rasio_jalan_bangunan,emisi_score,kategori_emisi
551,250000.0,0.0,0.0,1564.0,Purwojati,250000.0,0.0,-0.08776494871038774,normal
551,250000.0,0.0,0.0,1549.0,Ajibarang,250000.0,0.0,-0.08776494871038774,normal
552,250000.0,0.0,0.0,1564.0,Purwojati,250000.0,0.0,-0.08776494871038774,normal
552,250000.0,0.0,0.0,1549.0,Ajibarang,250000.0,0.0,-0.08776494871038774,normal
553,150808.69080426282,0.0,0.0,1549.0,Ajibarang,150808.69080426282,0.0,-0.052942868054067393,normal
554,517.1154172523635,0.0,0.0,1549.0,Ajibarang,517.1154172523635,0.0,-0.00018153843229001777,sedang
555,221931.95094393496,0.0,0.0,1549.0,Ajibarang,221931.95094393496,0.0,-0.07791138516716296,normal
556,250000.0,0.0,0.0,1549.0,Ajibarang,250000.0,0.0,-0.08776494871038774,normal
557,164628.672970449,30306.14100945177,0.0,1549.0,Ajibarang,5.432009337967804,0.0,0.014939939326851684,sedang
558,46432.977270181,84298.70083546452,1075.8269721392303,1549.0,Ajibarang,0.5508083280248943,0.012761931080147256,0.2590018596981339,parah
558,46432.977270181,84298.70083546452,1075.8269721392303,1563.0,Pekuncen,0.5508083280248943,0.012761931080147256,0.2590018596981339,parah
559,237549.4405218456,0.0,0.0,1549.0,Ajibarang,237549.4405218456,0.0,-0.08339405785432433,normal
559,237549.4405218456,0.0,0.0,1563.0,Pekuncen,237549.4405218456,0.0,-0.08339405785432433,normal
560,250000.0,0.0,0.0,1563.0,Pekuncen,250000.0,0.0,-0.08776494871038774,normal
561,188498.78562483352,0.0,0.0,1563.0,Pekuncen,188498.78562483352,0.0,-0.06617434500933554,normal
562,83449.42256327905,68961.56586577877,1448.741690571721,1563.0,Pekuncen,1.2100684119801446,0.021007653534692923,0.23449727642986778,parah
563,247831.33872904576,0.0,520.818502715816,1563.0,Pekuncen,247831.33872904576,520.818502715816,-0.05167011210286372,normal
564,250000.0,0.0,0.0,1563.0,Pekuncen,250000.0,0.0,-0.08776494871038774,normal
565,250000.0,0.0,0.0,1563.0,Pekuncen,250000.0,0.0,-0.08776494871038774,normal
566,155719.13717974786,0.0,0.0,1563.0,Pekuncen,155719.13717974786,0.0,-0.054666728351225616,normal
567,74834.5020713708,24467.66829064896,114.6540610153102,1563.0,Pekuncen,3.0583806679814223,0.004685749941656075,0.04022917524402866,sedang
568,205368.7529993168,1478.9509144188569,0.0,1563.0,Pekuncen,138.76727329160133,0.0,-0.06854724429807205,normal
569,9305.774725932568,0.0,0.0,1563.0,Pekuncen,9305.774725932568,0.0,-0.0032668833661275774,sedang
570,145215.95606372954,0.0,0.0,1554.0,Jatilawang,145215.95606372954,0.0,-0.05097948374345257,normal
571,183604.58666604216,0.0,0.0,1554.0,Jatilawang,183604.58666604216,0.0,-0.06445618852694852,normal
572,27255.849963145767,0.0,0.0,1554.0,Jatilawang,27255.849963145767,0.0,-0.009568433096294049,sedang
573,250000.0,0.0,0.0,1554.0,Jatilawang,250000.0,0.0,-0.08776494871038774,normal
574,250000.0,0.0,0.0,1554.0,Jatilawang,250000.0,0.0,-0.08776494871038774,normal
575,250000.0,0.0,0.0,1554.0,Jatilawang,250000.0,0.0,-0.08776494871038774,normal
576,172132.82839697678,0.0,0.0,1554.0,Jatilawang,172132.82839697678,0.0,-0.060428915422538566,normal
576,172132.82839697678,0.0,0.0,1564.0,Purwojati,172132.82839697678,0.0,-0.060428915422538566,normal
577,145600.16881189903,32616.065658467505,258.0259223135652,1554.0,Jatilawang,4.463926042166847,0.007910764414412637,0.04466894204830182,sedang
577,145600.16881189903,32616.065658467505,258.0259223135652,1564.0,Purwojati,4.463926042166847,0.007910764414412637,0.04466894204830182,sedang
578,16576.050546101436,84820.19482724172,1267.6183373148067,1554.0,Jatilawang,0.19542345023390031,0.014944594212526823,0.2837465674444244,parah
578,16576.050546101436,84820.19482724172,1267.6183373148067,1564.0,Purwojati,0.19542345023390031,0.014944594212526823,0.2837465674444244,parah
579,193258.26530254705,46325.59190396111,17.960224833994396,1554.0,Jatilawang,4.171648665699121,0.00038768715970359833,0.04455423120792899,sedang
579,193258.26530254705,46325.59190396111,17.960224833994396,1564.0,Purwojati,4.171648665699121,0.00038768715970359833,0.04455423120792899,sedang
580,120757.8057139388,66729.58690409616,613.1631723607305,1554.0,Jatilawang,1.8096320040986522,0.009188637487063559,0.15935553583582834,parah
580,120757.8057139388,66729.58690409616,613.1631723607305,1564.0,Purwojati,1.8096320040986522,0.009188637487063559,0.15935553583582834,parah
581,1346.161311440881,100650.8302281908,1003.3388455748424,1554.0,Jatilawang,0.013374434507439737,0.009968411337380976,0.30915722293682807,parah
581,1346.161311440881,100650.8302281908,1003.3388455748424,1564.0,Purwojati,0.013374434507439737,0.009968411337380976,0.30915722293682807,parah
582,0.0,160521.61361038254,936.087305214371,1564.0,Purwojati,0.0,0.005831498031090027,0.4487566145945401,parah
583,30155.691775101583,95656.84156816245,678.948058373874,1564.0,Purwojati,0.31524537121835106,0.007097672780856959,0.26505042452402755,parah
584,70137.9289331504,150546.32988139664,1005.5943961117562,1564.0,Purwojati,0.46588623649722694,0.006679589713772924,0.40490894093859964,parah
585,177817.1223741634,26210.547739992453,375.270050800286,1564.0,Purwojati,6.78392303033894,0.014316974126167876,0.02593979065159896,sedang
586,226766.9968044989,0.0,0.0,1564.0,Purwojati,226766.9968044989,0.0,-0.07960877537502203,normal
