grid_id,luas_hijau_m2,luas_bangunan_m2,panjang_jalan_m,index_right,kecamatan
95,79100.14430135305,17744.244641617486,436.77658253370856,1553.0,Gumelar
96,67806.2330866947,51745.759227790506,276.30206552668585,1553.0,Gumelar
97,82932.94092733739,0.0,4.901512760876917,1553.0,Gumelar
98,3199.4483310372943,0.0,0.0,1561.0,Lumbir
99,119054.36667178788,0.0,0.0,1561.0,Lumbir
100,250000.0,0.0,0.0,1561.0,Lumbir
101,250000.0,0.0,0.0,1561.0,Lumbir
102,239128.06396914547,10871.936030854533,161.95664072999375,1561.0,Lumbir
103,205177.7872690909,15556.064915998011,1082.253738115544,1561.0,Lumbir
104,49435.2472596568,161008.9614703659,1559.9519484202613,1561.0,Lumbir
105,0.0,32287.582495988845,172.96181590985927,1561.0,Lumbir
106,113597.89277252264,0.0,0.0,1561.0,Lumbir
107,250000.0,0.0,0.0,1561.0,Lumbir
107,250000.0,0.0,0.0,1553.0,Gumelar
108,250000.0,0.0,0.0,1561.0,Lumbir
108,250000.0,0.0,0.0,1553.0,Gumelar
109,221679.89753178295,204.88099214801048,0.0,1561.0,Lumbir
109,221679.89753178295,204.88099214801048,0.0,1553.0,Gumelar
110,15534.921550450214,97484.44285729126,676.8550531105964,1561.0,Lumbir
110,15534.921550450214,97484.44285729126,676.8550531105964,1553.0,Gumelar
111,69057.04932594801,62856.95658036419,0.0,1561.0,Lumbir
111,69057.04932594801,62856.95658036419,0.0,1553.0,Gumelar
112,202486.2082384277,0.0,0.0,1561.0,Lumbir
112,202486.2082384277,0.0,0.0,1553.0,Gumelar
113,250000.0,0.0,0.0,1561.0,Lumbir
113,250000.0,0.0,0.0,1553.0,Gumelar
114,180714.2970639387,18150.61583139445,756.0110998861572,1561.0,Lumbir
114,180714.2970639387,18150.61583139445,756.0110998861572,1553.0,Gumelar
115,123001.70037712276,98250.09460221585,1300.15423351716,1553.0,Gumelar
116,102628.4091720247,964.4000038712096,0.0,1553.0,Gumelar
117,5896.671157124529,0.0,0.0,1553.0,Gumelar
118,35602.09159754314,0.0,0.0,1553.0,Gumelar
119,12283.810214953406,0.0,0.0,1553.0,Gumelar
120,219802.72357070688,0.0,0.0,1553.0,Gumelar
121,177850.01128791217,72149.98871208787,0.0,1553.0,Gumelar
122,245209.60995072132,4790.390049278644,0.0,1553.0,Gumelar
123,245012.83544334583,0.0,0.0,1553.0,Gumelar
124,127867.4633835433,24360.616261315165,0.0,1561.0,Lumbir
125,1411.932593679754,75297.51351428278,849.1819357796373,1561.0,Lumbir
126,0.0,70705.72105725564,770.1170851073831,1561.0,Lumbir
127,88134.05026667748,0.0,431.9060369462278,1561.0,Lumbir
128,248695.49487195697,609.6718311357839,148.49406694548117,1561.0,Lumbir
129,222069.4776395875,0.0,302.15350315165426,1561.0,Lumbir
130,32596.259374946072,53748.31053532119,584.6103815212696,1561.0,Lumbir
131,0.0,132587.7205258869,1550.926844146466,1561.0,Lumbir
132,0.0,45382.51547069056,526.7062034545291,1561.0,Lumbir
132,0.0,45382.51547069056,526.7062034545291,1553.0,Gumelar
133,89302.11387937397,1326.5581766689534,715.7495160840144,1561.0,Lumbir
133,89302.11387937397,1326.5581766689534,715.7495160840144,1553.0,Gumelar
134,248259.15147733237,1740.848522667662,494.1777996779558,1561.0,Lumbir
134,248259.15147733237,1740.848522667662,494.1777996779558,1553.0,Gumelar
135,166288.69153333653,50983.20724798245,2078.253734080788,1561.0,Lumbir
135,166288.69153333653,50983.20724798245,2078.253734080788,1553.0,Gumelar
136,52266.36384739964,38383.4683291106,1187.8923417734998,1553.0,Gumelar
137,84254.48382637427,0.0,80.22141845308118,1553.0,Gumelar
138,67999.6008461502,9406.018821873176,468.76595161118513,1553.0,Gumelar
139,201872.9621547989,0.0,0.0,1553.0,Gumelar
140,2654.4465517783383,0.0,0.0,1553.0,Gumelar
141,30824.833198083288,0.0,0.0,1553.0,Gumelar
142,21153.28301704497,0.0,0.0,1553.0,Gumelar
143,3414.844886470835,0.0,0.0,1553.0,Gumelar
144,58471.86940735263,0.0,0.0,1553.0,Gumelar
145,250000.0,0.0,0.0,1553.0,Gumelar
146,284850.7587869454,11588.601824815045,0.0,1553.0,Gumelar
147,250000.0,0.0,0.0,1553.0,Gumelar
148,250000.0,0.0,0.0,1561.0,Lumbir
149,57917.092797637575,140336.07389484634,989.0996461488508,1561.0,Lumbir
150,0.0,61552.66781250395,731.4801938409141,1561.0,Lumbir
151,0.0,2265.9236693592247,486.5598369728359,1561.0,Lumbir
152,3134.408115288189,1584.5888118518153,228.62436016443527,1561.0,Lumbir
153,21240.843115198357,122384.66040845808,1718.6537705994592,1561.0,Lumbir
154,146872.15373572925,356.4415103567376,767.6872757606001,1561.0,Lumbir
155,68076.59793024487,87811.1280619048,831.6103736873561,1561.0,Lumbir
156,0.0,109469.46719873772,562.7522127187626,1561.0,Lumbir
156,0.0,109469.46719873772,562.7522127187626,1553.0,Gumelar
157,10499.945309745302,0.0,0.0,1561.0,Lumbir
157,10499.945309745302,0.0,0.0,1553.0,Gumelar
158,180510.2926191476,0.0,0.0,1561.0,Lumbir
158,180510.2926191476,0.0,0.0,1553.0,Gumelar
159,174058.77673708348,26812.78323310928,770.3950303060377,1561.0,Lumbir
159,174058.77673708348,26812.78323310928,770.3950303060377,1553.0,Gumelar
160,6907.6314440236,118722.27999499644,1795.7299112477078,1553.0,Gumelar
161,16708.657975495076,0.0,0.0,1553.0,Gumelar
162,40956.1140050667,38768.870176577424,570.8540690619589,1553.0,Gumelar
163,204883.55690654623,182.1363972015152,584.0901379430203,1553.0,Gumelar
164,0.0,0.0,0.0,1553.0,Gumelar
165,226894.81322187636,0.0,0.0,1553.0,Gumelar
166,237838.31159387808,0.0,558.0169644186708,1553.0,Gumelar
167,186659.9058353717,0.0,0.0,1553.0,Gumelar
168,102863.26245041558,0.0,0.0,1553.0,Gumelar
169,206112.5575560312,0.0,0.0,1553.0,Gumelar
170,76330.80398673081,0.0,0.0,1553.0,Gumelar
171,5.859394832919995,0.0,0.0,1553.0,Gumelar
172,45372.12280019296,0.0,0.0,1553.0,Gumelar
173,114043.18468031033,0.0,0.0,1575.0,Wangon
174,191744.84309869545,58255.15690130455,0.0,1575.0,Wangon
174,191744.84309869545,58255.15690130455,0.0,1561.0,Lumbir
175,167978.2392607971,82021.7607392029,0.0,1575.0,Wangon
175,167978.2392607971,82021.7607392029,0.0,1561.0,Lumbir
176,231508.64319184748,0.0,0.0,1575.0,Wangon
176,231508.64319184748,0.0,0.0,1561.0,Lumbir
177,126213.78025372776,0.0,0.0,1575.0,Wangon
177,126213.78025372776,0.0,0.0,1561.0,Lumbir
178,674.1932436435053,19740.77194070113,0.0,1561.0,Lumbir
179,0.0,105213.62036465092,930.4389157365432,1561.0,Lumbir
180,736.3326059482903,0.0,0.0,1561.0,Lumbir
181,0.0,0.0,0.0,1561.0,Lumbir
182,50806.22376883016,871.2196453629039,0.0,1561.0,Lumbir
183,21167.767470122857,0.0,663.7041027492107,1561.0,Lumbir
183,21167.767470122857,0.0,663.7041027492107,1553.0,Gumelar
184,43932.19820274576,3119.033022675908,477.95442204574135,1561.0,Lumbir
184,43932.19820274576,3119.033022675908,477.95442204574135,1553.0,Gumelar
185,31284.159052923435,23961.78351462628,361.4871566995903,1561.0,Lumbir
185,31284.159052923435,23961.78351462628,361.4871566995903,1553.0,Gumelar
186,204862.0921093402,0.0,0.0,1561.0,Lumbir
186,204862.0921093402,0.0,0.0,1553.0,Gumelar
