grid_id,kecamatan,cell_area_m2,bangunan_m2,hijau_m2,jalan_m,road_km_per_km2,building_area_pct,green_area_pct,ratio_green_building,ratio_road_building,score,kategori_emisi
77,Lumbir,47241.227563125874,0.0,47241.22756312588,0.0,0.0,0.0,100.00000000000003,47241.22756312588,0.0,-0.11053967798373894,Rendah
78,Lumbir,14275.756218898612,0.0,14275.756218898612,0.0,0.0,0.0,100.0,14275.756218898612,0.0,-0.11053967798373891,Rendah
79,Lumbir,13140.188732483939,0.0,13140.18873248394,0.0,0.0,0.0,100.00000000000003,13140.18873248394,0.0,-0.11053967798373894,Rendah
80,Lumbir,20259.38144942355,0.0,20259.38144942355,0.0,0.0,0.0,100.0,20259.38144942355,0.0,-0.11053967798373891,Rendah
81,Lumbir,96838.65815955767,0.0,96838.65815955769,0.0,0.0,0.0,100.00000000000003,96838.65815955769,0.0,-0.11053967798373894,Rendah
82,Lumbir,250000.0,0.0,250000.0,0.0,0.0,0.0,100.0,250000.0,0.0,-0.11053967798373891,Rendah
83,Lumbir,250000.0,0.0,242968.17150876683,0.0,0.0,0.0,97.18726860350672,242968.17150876683,0.0,-0.10743049375550771,Rendah
84,Lumbir,250000.0,18118.212208707373,231775.68464552372,0.0,0.0,7.247284883482949,92.71027385820949,12.791708710941723,0.0,-0.08665803680171355,Rendah
85,Lumbir,250000.0,29307.508592957267,167403.83557418003,532.887255159067,2.131549020636268,11.723003437182907,66.96153422967201,5.711782810211182,0.018181998359586195,-0.03180545709110537,Sedang
86,Lumbir,250000.0,40251.77083995733,209748.22916004263,516.1258342860325,2.06450333714413,16.100708335982933,83.89929166401706,5.2107774144043235,0.01282211940981948,-0.04149288719207523,Sedang
87,Lumbir,250000.0,72510.55642964404,43829.8987927658,1108.6274264210479,4.434509705684191,29.004222571857618,17.531959517106323,0.604453978798438,0.015288975730326771,0.07851950328035776,Tinggi
88,Lumbir,250000.0,0.0,175531.19528194604,0.0,0.0,0.0,70.21247811277843,175531.19528194604,0.0,-0.07761264721026843,Rendah
89,Lumbir,250000.0,0.0,250000.0,0.0,0.0,0.0,100.0,250000.0,0.0,-0.11053967798373891,Rendah
90,Lumbir,250000.0,0.0,250000.0,0.0,0.0,0.0,100.0,250000.0,0.0,-0.11053967798373891,Rendah
91,Lumbir,250000.0,0.0,236887.47926873565,0.0,0.0,0.0,94.75499170749427,236887.47926873565,0.0,-0.10474186270698267,Rendah
92,Lumbir,233118.5593259661,491.600780509001,166843.39953847727,688.238433199022,2.9523107692025015,0.2108801555442024,71.57019158872833,338.6990157954665,1.3971525430549865,-0.05563647969193351,Sedang
93,Lumbir,149467.2854671343,0.0,149456.7830956825,0.0,0.0,0.0,99.99297346478264,149456.7830956825,0.0,-0.11053191087433623,Rendah
94,Lumbir,247523.0964618382,0.0,247523.0964618382,0.0,0.0,0.0,100.0,247523.0964618382,0.0,-0.11053967798373891,Rendah
95,Lumbir,236013.48515912832,0.0,236013.48515912832,0.0,0.0,0.0,100.0,236013.48515912832,0.0,-0.11053967798373891,Rendah
96,Lumbir,159376.86465218707,17744.244641617483,79100.14430135305,436.77658253356554,2.740526885672875,11.13351343706082,49.63088242071751,4.457540366383084,0.02461372561239332,-0.009187633009368243,Sedang
97,Lumbir,183304.40320698425,51745.759227790506,67806.2330866947,276.30206552668585,1.5073400348964352,28.22941419981061,36.99105526130163,1.31034743235243,0.005339504727443846,0.03249723322295376,Sedang
98,Lumbir,203370.66330738043,0.0,82932.94092733739,4.901512760876917,0.024101375690891196,0.0,40.77920560350934,82932.94092733739,4.901512760876917,-0.04488930551804289,Sedang
99,Lumbir,18155.901436459917,0.0,3199.4483310372943,0.0,0.0,0.0,17.62208471022153,3199.4483310372943,0.0,-0.019479395692700567,Sedang
100,Lumbir,119054.36667178781,0.0,119054.36667178785,0.0,0.0,0.0,100.00000000000004,119054.36667178785,0.0,-0.11053967798373895,Rendah
101,Lumbir,250000.0,0.0,250000.0,0.0,0.0,0.0,100.0,250000.0,0.0,-0.11053967798373891,Rendah
102,Lumbir,250000.0,0.0,250000.0,0.0,0.0,0.0,100.0,250000.0,0.0,-0.11053967798373891,Rendah
103,Lumbir,250000.0,10871.93603085454,239128.06396914547,161.95664072999375,0.647826562919975,4.348774412341816,95.65122558765819,21.992961541442234,0.01489539166517703,-0.09118698609271172,Rendah
104,Lumbir,250000.0,15556.064915998011,205177.78726909097,1082.2537381155441,4.329014952462177,6.2224259663992045,82.07111490763639,13.188720904423151,0.06956670451394821,-0.04338571636379885,Sedang
105,Lumbir,250000.0,161008.9614703659,49435.2472596568,1559.9519484202613,6.239807793681045,64.40358458814636,19.77409890386272,0.3070322283677797,0.00968854308251836,0.16740573567904893,Tinggi
106,Lumbir,250000.0,32287.582495988845,0.0,172.96181590985927,0.691847263639437,12.915032998395537,0.0,0.0,0.005356748501776008,0.03359218764447512,Sedang
